Section,Original File,Most common start notation 1,Most common start notation freq 1,Most common start notation rel freq 1,Most common start notation 2,Most common start notation freq 2,Most common start notation rel freq 2,Most common end notation 1,Most common end notation freq 1,Most common end notation rel freq 1,Most common end notation 2,Most common end notation freq 2,Most common end notation rel freq 2
White Section
White,Fen_1_BL_W_modified.csv,Re1,1,0.045454545454545456,Rd3,1,0.045454545454545456,Nd4,2,0.09090909090909091,Qb1,1,0.045454545454545456
White,Fen_1_BR_W_modified.csv,Kh1,24,0.12371134020618557,Qe2,5,0.02577319587628866,Rg1,11,0.05670103092783505,Kh1,5,0.02577319587628866
White,Fen_1_WL_W_modified.csv,Nc6,5,0.19230769230769232,Na6,3,0.11538461538461539,Rb8,5,0.19230769230769232,Qb7,2,0.07692307692307693
White,Fen_1_WR_W_modified.csv,Nf6,32,0.19753086419753085,Nh6,14,0.08641975308641975,Nf7,8,0.04938271604938271,Qg7,6,0.037037037037037035
White,Fen_2_BL_W_modified.csv,Rc1,2,0.07692307692307693,Ka1,2,0.07692307692307693,Pgf5,2,0.07692307692307693,Ka1,2,0.07692307692307693
White,Fen_2_BR_W_modified.csv,Kh1,14,0.08235294117647059,Qf3,5,0.029411764705882353,Rg1,4,0.023529411764705882,Kh1,4,0.023529411764705882
White,Fen_2_WL_W_modified.csv,Nc6,10,0.3333333333333333,Na6,2,0.06666666666666667,Rb8,2,0.06666666666666667,Nc7,2,0.06666666666666667
White,Fen_2_WR_W_modified.csv,Nf6,29,0.1407766990291262,Nh6,14,0.06796116504854369,Nf7,7,0.03398058252427184,Qg7,6,0.02912621359223301
White,Fen_3_BL_W_modified.csv,Ka1,1,0.05,Ba3,1,0.05,Ka1,1,0.05,Pd7,1,0.05
White,Fen_3_BR_W_modified.csv,Rf1,7,0.07,Kh1,6,0.06,Kh1,4,0.04,Rg1,4,0.04
White,Fen_3_WL_W_modified.csv,Nc6,6,0.3333333333333333,Na6,2,0.1111111111111111,Re3,2,0.1111111111111111,Qb7,2,0.1111111111111111
White,Fen_3_WR_W_modified.csv,Nf6,21,0.1346153846153846,Nh6,17,0.10897435897435898,Rg8,6,0.038461538461538464,Qh6,5,0.03205128205128205

Black Section
Black,Fen_1_BL_B_modified.csv,Nc3,6,0.2727272727272727,Nd2,2,0.09090909090909091,Rb1,4,0.18181818181818182,Qc3,1,0.045454545454545456
Black,Fen_1_BR_B_modified.csv,Nf3,38,0.18811881188118812,Nh3,10,0.04950495049504951,Rg1,12,0.0594059405940594,Qg2,10,0.04950495049504951
Black,Fen_1_WL_B_modified.csv,Rc8,2,0.07692307692307693,Ng4,2,0.07692307692307693,Ng4,2,0.07692307692307693,ph5,2,0.07692307692307693
Black,Fen_1_WR_B_modified.csv,Kh8,12,0.075,Rg8,4,0.025,Rg8,4,0.025,Nf6,3,0.01875
Black,Fen_2_BL_B_modified.csv,Nc3,5,0.19230769230769232,Na3,2,0.07692307692307693,Rb1,4,0.15384615384615385,Rc1,1,0.038461538461538464
Black,Fen_2_BR_B_modified.csv,Nf3,26,0.14444444444444443,Nh3,12,0.06666666666666667,Rg1,6,0.03333333333333333,Qh2,5,0.027777777777777776
Black,Fen_2_WL_B_modified.csv,Rd8,3,0.1,Rc8,2,0.06666666666666667,Rd8,2,0.06666666666666667,Bb3,2,0.06666666666666667
Black,Fen_2_WR_B_modified.csv,Kh8,17,0.085,Rg8,5,0.025,Rg8,7,0.035,Kh8,4,0.02
Black,Fen_3_BL_B_modified.csv,Rb8,3,0.15,Nc3,3,0.15,Qa2,2,0.1,Qa3,1,0.05
Black,Fen_3_BR_B_modified.csv,Nf3,12,0.11764705882352941,Nh3,11,0.10784313725490197,Qg1,3,0.029411764705882353,Nh3,3,0.029411764705882353
Black,Fen_3_WL_B_modified.csv,Be5,2,0.125,Qc6,2,0.125,Ne3,2,0.125,Rgd8,2,0.125
Black,Fen_3_WR_B_modified.csv,Kh8,9,0.05921052631578947,Rf8,3,0.019736842105263157,Kh8,6,0.039473684210526314,Rg7,3,0.019736842105263157
